department_id,nb_produits,nb_clients,taux_reachat
1,3754,145382,0.2713922819154686
2,466,13980,0.08122539481424498
3,1433,119524,0.2040159017229677
4,1618,196051,0.27663013085406435
5,889,13226,0.19127344791061604
6,1017,61006,0.11386531709510461
7,3975,158420,0.28751213240391765
8,891,12375,0.1860955927995034
9,1702,104792,0.18619896879448997
10,36,9504,0.09289131920710868
11,5520,77183,0.14720735968552084
12,851,94608,0.17156912695447393
13,4772,152268,0.22586546267362076
14,1049,94063,0.16733411233507664
15,1915,113681,0.19818663820849003
16,3283,182625,0.35337433900336035
17,2775,93408,0.1858089966541369
18,984,28218,0.23351150287571892
19,5708,157191,0.2790534972660918
20,1233,112594,0.20110242870310252
21,1070,24198,0.20747315748447284
